,hour,weather,temperature,humidity
0,01,晴れ,6.5,60
1,02,晴れ,6.0,64
2,03,晴れ,5.5,66
3,04,晴れ,4.5,68
4,05,晴れ,4.5,72
5,06,晴れ,4.0,76
6,07,晴れ,3.5,74
7,08,晴れ,5.0,72
8,09,晴れ,7.0,66
9,10,晴れ,8.0,60
10,11,晴れ,9.5,56
11,12,晴れ,10.5,52
12,13,晴れ,10.0,50
13,14,晴れ,10.5,50
14,15,晴れ,10.0,50
15,16,晴れ,10.0,48
16,17,晴れ,9.0,48
17,18,晴れ,8.0,40
18,19,晴れ,7.0,48
19,20,晴れ,6.5,54
20,21,晴れ,6.0,58
21,22,晴れ,5.0,60
22,23,晴れ,4.7,64
23,24,晴れ,5.2,52
0,01,晴れ,4.6,50
1,02,晴れ,3.5,54
2,03,晴れ,3.0,56
3,04,晴れ,2.8,58
4,05,晴れ,2.1,32
5,06,晴れ,1.9,32
6,07,晴れ,1.8,34
7,08,晴れ,3.4,34
8,09,晴れ,5.1,32
9,10,晴れ,6.5,28
10,11,晴れ,7.5,26
11,12,晴れ,8.1,26
12,13,晴れ,8.2,24
13,14,晴れ,7.9,26
14,15,晴れ,7.2,28
15,16,晴れ,6.6,30
16,17,晴れ,6.0,32
17,18,晴れ,5.5,34
18,19,晴れ,4.8,40
19,20,晴れ,4.5,42
20,21,晴れ,4.2,40
21,22,晴れ,3.9,40
22,23,晴れ,3.6,40
23,24,晴れ,3.3,40
0,01,晴れ,3.1,40
1,02,晴れ,2.8,42
2,03,晴れ,2.7,42
3,04,晴れ,2.1,39
4,05,晴れ,1.7,41
5,06,晴れ,1.1,40
6,07,晴れ,1.2,41
7,08,晴れ,3.0,42
8,09,晴れ,4.8,38
9,10,晴れ,6.6,34
10,11,晴れ,7.6,32
11,12,晴れ,8.3,33
12,13,晴れ,8.6,34
13,14,晴れ,8.4,32
14,15,晴れ,7.8,32
15,16,晴れ,7.1,34
16,17,晴れ,6.4,38
17,18,晴れ,5.9,44
18,19,晴れ,5.4,48
19,20,晴れ,5.0,52
20,21,晴れ,4.5,56
21,22,晴れ,4.0,60
22,23,晴れ,3.6,66
23,24,晴れ,3.3,68
