銘柄コード,現在値,始値,前日終値,高値,出来高,安値,売買代金,over,under,sellside_price,buyside_price,板上売気配,板上買気配,現在時刻
1401,731.0,725.0,725.0,732.0,6000.0,720.0,4353.0,5400.0,7000.0,739.0,731.0,-109100.0,60200.0,20200524 16:41:59
1431,1675.0,1662.0,1661.0,1699.0,14300.0,1660.0,23963.0,9300.0,9700.0,1692.0,1674.0,-38800.0,80300.0,20200524 16:42:02
1436,514.0,518.0,520.0,527.0,1600.0,514.0,829.0,13800.0,6100.0,525.0,520.0,-18400.0,11400.0,20200524 16:42:05
1447,469.0,490.0,477.0,495.0,365000.0,466.0,174745.0,308900.0,72500.0,470.0,468.0,-29700.0,192400.0,20200524 16:42:08
2121,1759.0,1777.0,1763.0,1790.0,538800.0,1755.0,953634.0,155600.0,93600.0,1760.0,1758.0,-163300.0,369500.0,20200524 16:42:11
2122,1007.0,1029.0,1018.0,1031.0,5600.0,990.0,5672.0,11600.0,4900.0,1010.0,994.0,-56000.0,30700.0,20200524 16:42:14
2150,1195.0,1239.0,1209.0,1239.0,99700.0,1177.0,120238.0,64600.0,34800.0,1196.0,1192.0,-40400.0,134200.0,20200524 16:42:17
2158,548.0,475.0,468.0,548.0,11472200.0,468.0,5953304.0,0.0,490000.0,0.0,548.0,0.0,388300.0,20200524 16:42:20
2160,1785.0,1778.0,1805.0,1853.0,1590400.0,1747.0,2868467.0,333400.0,288700.0,1790.0,1785.0,-407500.0,194400.0,20200524 16:42:24
2178,289.0,298.0,296.0,298.0,51300.0,288.0,14897.0,67600.0,31800.0,291.0,288.0,-69200.0,147800.0,20200524 16:42:27
2334,1580.0,1271.0,1280.0,1580.0,55800.0,1271.0,76567.0,0.0,20800.0,0.0,1482.0,0.0,225300.0,20200524 16:42:30
2342,345.0,345.0,345.0,354.0,197400.0,345.0,68828.0,243800.0,106600.0,347.0,345.0,-470700.0,149500.0,20200524 16:42:33
2351,1426.0,1415.0,1430.0,1446.0,39600.0,1402.0,56241.0,22700.0,22800.0,1438.0,1426.0,-46800.0,42300.0,20200524 16:42:36
2370,117.0,100.0,87.0,117.0,68164500.0,96.0,7475542.0,0.0,4409300.0,0.0,117.0,0.0,6967600.0,20200524 16:42:39
2385,459.0,467.0,462.0,473.0,253700.0,451.0,117201.0,136800.0,43500.0,459.0,456.0,-70100.0,367700.0,20200524 16:42:42
2402,590.0,588.0,588.0,593.0,2300.0,588.0,1357.0,4200.0,14800.0,590.0,589.0,-23600.0,26800.0,20200524 16:42:45
2438,1442.0,1448.0,1438.0,1469.0,171900.0,1414.0,248153.0,146700.0,48000.0,1442.0,1439.0,-40500.0,94400.0,20200524 16:42:48
2489,289.0,291.0,289.0,293.0,167200.0,285.0,48197.0,182400.0,144500.0,290.0,289.0,-232600.0,360900.0,20200524 16:42:51
2497,1147.0,1157.0,1164.0,1167.0,43600.0,1142.0,50180.0,43200.0,20100.0,1153.0,1146.0,-68500.0,61000.0,20200524 16:42:54
