銘柄コード,現在値,始値,前日終値,高値,出来高,安値,売買代金,over,under,sellside_price,buyside_price,板上売気配,板上買気配,現在時刻
1400,164.0,168.0,160.0,168.0,114500.0,152.0,18324.0,61500.0,21000.0,164.0,158.0,-156300.0,354100.0,20200516 19:55:20
1739,699.0,670.0,670.0,701.0,1700.0,670.0,1149.0,0.0,1200.0,698.0,698.0,-123300.0,210900.0,20200516 19:55:23
2164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200516 19:55:26
2173,498.0,481.0,489.0,508.0,310700.0,466.0,151336.0,46000.0,65800.0,498.0,491.0,-120300.0,37300.0,20200516 19:55:30
2195,0.0,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,2940.0,2440.0,-10606000.0,0.0,20200516 19:55:33
2321,143.0,138.0,136.0,143.0,273300.0,134.0,37900.0,657800.0,248400.0,143.0,141.0,-430500.0,601400.0,20200516 19:55:36
2388,85.0,87.0,84.0,88.0,85500.0,83.0,7259.0,210700.0,74900.0,86.0,85.0,-773500.0,576000.0,20200516 19:55:39
2425,508.0,515.0,500.0,515.0,4400.0,495.0,2251.0,3100.0,6400.0,508.0,501.0,-70500.0,61300.0,20200516 19:55:42
2479,170.0,166.0,165.0,170.0,48300.0,163.0,8016.0,111700.0,85600.0,170.0,167.0,-127300.0,301500.0,20200516 19:55:45
3042,710.0,748.0,763.0,748.0,226700.0,667.0,159281.0,68900.0,27800.0,711.0,710.0,-13500.0,59700.0,20200516 19:55:49
3070,287.0,287.0,287.0,290.0,2400.0,286.0,689.0,14300.0,20300.0,288.0,286.0,-70500.0,12700.0,20200516 19:55:52
3140,960.0,962.0,960.0,967.0,10700.0,956.0,10271.0,48200.0,22000.0,962.0,959.0,-29400.0,55100.0,20200516 19:55:55
3625,913.0,922.0,922.0,939.0,53200.0,885.0,48517.0,13200.0,8000.0,915.0,910.0,-32000.0,22200.0,20200516 19:55:58
3777,21.0,20.0,21.0,22.0,1134400.0,20.0,23690.0,1656100.0,3074100.0,22.0,21.0,-22174000.0,5995700.0,20200516 19:56:02
3803,439.0,431.0,432.0,439.0,300.0,431.0,131.0,2700.0,1700.0,442.0,432.0,-30800.0,97300.0,20200516 19:56:05
3807,109.0,113.0,110.0,117.0,1424800.0,106.0,156423.0,392100.0,87500.0,110.0,109.0,-419100.0,610000.0,20200516 19:56:08
3814,642.0,719.0,687.0,719.0,85100.0,605.0,54980.0,16800.0,18200.0,654.0,641.0,-39400.0,131100.0,20200516 19:56:11
3842,1859.0,1880.0,1825.0,1880.0,20800.0,1771.0,37885.0,10900.0,8000.0,1860.0,1849.0,-24000.0,41100.0,20200516 19:56:14
4240,361.0,375.0,348.0,390.0,93900.0,353.0,34918.0,19100.0,13500.0,362.0,359.0,-54200.0,88400.0,20200516 19:56:18
4316,806.0,833.0,833.0,853.0,93100.0,783.0,75093.0,30900.0,20500.0,807.0,801.0,-28900.0,51200.0,20200516 19:56:21
4570,611.0,595.0,592.0,613.0,115900.0,585.0,69071.0,71200.0,44400.0,613.0,607.0,-85500.0,322900.0,20200516 19:56:24
4572,1487.0,1497.0,1496.0,1531.0,237400.0,1433.0,349756.0,61200.0,58900.0,1487.0,1481.0,-59300.0,127400.0,20200516 19:56:27
4576,392.0,401.0,398.0,406.0,285300.0,379.0,111025.0,104000.0,100600.0,392.0,387.0,-138700.0,362000.0,20200516 19:56:30
4579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200516 19:56:34
4582,399.0,407.0,392.0,413.0,1480600.0,390.0,593012.0,542600.0,323900.0,400.0,399.0,-716200.0,590300.0,20200516 19:56:37
4764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200516 19:56:41
4772,152.0,150.0,147.0,153.0,39200.0,147.0,5905.0,115500.0,105200.0,153.0,152.0,-90400.0,354200.0,20200516 19:56:45
4833,286.0,282.0,280.0,290.0,22300.0,282.0,6343.0,78100.0,21700.0,289.0,286.0,-30900.0,168000.0,20200516 19:56:48
4840,302.0,309.0,309.0,310.0,7300.0,301.0,2228.0,21800.0,19600.0,304.0,302.0,-13600.0,26200.0,20200516 19:56:51
4978,425.0,428.0,422.0,434.0,1812100.0,416.0,766964.0,1170800.0,595200.0,425.0,424.0,-815900.0,1878900.0,20200516 19:56:54
7070,386.0,439.0,431.0,439.0,87800.0,370.0,35279.0,29400.0,6400.0,399.0,386.0,-53300.0,35500.0,20200516 19:56:57
7774,708.0,714.0,711.0,716.0,50000.0,697.0,35261.0,37300.0,27700.0,711.0,708.0,-40800.0,30900.0,20200516 19:57:01
7776,354.0,333.0,340.0,354.0,84500.0,333.0,28977.0,75000.0,58700.0,354.0,350.0,-65800.0,63400.0,20200516 19:57:04
7777,415.0,422.0,424.0,422.0,562300.0,404.0,231810.0,334800.0,188700.0,415.0,414.0,-163700.0,327500.0,20200516 19:57:07
7855,544.0,540.0,530.0,544.0,2200.0,529.0,1170.0,2800.0,2400.0,543.0,534.0,-5500.0,59800.0,20200516 19:57:10
8885,628.0,648.0,633.0,649.0,91700.0,612.0,57638.0,29700.0,26900.0,634.0,627.0,-77000.0,92100.0,20200516 19:57:14
8938,660.0,703.0,705.0,706.0,14100.0,636.0,9367.0,1200.0,1200.0,690.0,655.0,-382800.0,54300.0,20200516 19:57:17
