銘柄コード,現在値,始値,前日終値,高値,出来高,安値,売買代金,over,under,sellside_price,buyside_price,板上売気配,板上買気配,現在時刻
1301,0.0,0.0,2682.0,0.0,0.0,0.0,0.0,15500.0,10800.0,2670.0,2670.0,-7550000.0,-5484900.0,20200514 08:40:53
1332,0.0,0.0,473.0,0.0,0.0,0.0,0.0,300000.0,433000.0,473.0,472.0,-31990700.0,-64610200.0,20200514 08:40:56
1333,0.0,0.0,2307.0,0.0,0.0,0.0,0.0,54600.0,50700.0,2311.0,2310.0,-7202800.0,-4127900.0,20200514 08:40:59
1352,0.0,0.0,894.0,0.0,0.0,0.0,0.0,5300.0,0.0,909.0,851.0,-4344300.0,-1128800.0,20200514 08:41:02
1376,0.0,0.0,1470.0,0.0,0.0,0.0,0.0,2900.0,2500.0,1451.0,1450.0,-22657700.0,-1833500.0,20200514 08:41:05
1377,0.0,0.0,3700.0,0.0,0.0,0.0,0.0,101300.0,33600.0,3675.0,3670.0,-15700000.0,-14899500.0,20200514 08:41:08
1379,0.0,0.0,1975.0,0.0,0.0,0.0,0.0,35100.0,17400.0,1971.0,1971.0,-5763900.0,-2930600.0,20200514 08:41:11
1380,0.0,0.0,844.0,0.0,0.0,0.0,0.0,8800.0,8800.0,852.0,851.0,-2519500.0,-1401300.0,20200514 08:41:14
1381,0.0,0.0,2460.0,0.0,0.0,0.0,0.0,2900.0,4100.0,2481.0,2480.0,-4308400.0,-5609400.0,20200514 08:41:17
1382,0.0,0.0,864.0,0.0,0.0,0.0,0.0,800.0,1100.0,909.0,861.0,-2502300.0,-1045100.0,20200514 08:41:20
1383,0.0,0.0,2002.0,0.0,0.0,0.0,0.0,9300.0,6100.0,2001.0,2000.0,-3105900.0,-2589400.0,20200514 08:41:24
1384,0.0,0.0,590.0,0.0,0.0,0.0,0.0,10400.0,9800.0,595.0,595.0,-1631500.0,-1511200.0,20200514 08:41:27
1400,0.0,0.0,159.0,0.0,0.0,0.0,0.0,35100.0,16700.0,163.0,163.0,-7546000.0,-3919400.0,20200514 08:41:30
1401,0.0,0.0,725.0,0.0,0.0,0.0,0.0,300.0,4600.0,729.0,714.0,-5365500.0,-1523900.0,20200514 08:41:33
1407,0.0,0.0,1888.0,0.0,0.0,0.0,0.0,32100.0,23000.0,1877.0,1877.0,-7232800.0,-2218100.0,20200514 08:41:36
1413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200514 08:41:39
1414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200514 08:41:43
1417,0.0,0.0,1439.0,0.0,0.0,0.0,0.0,30000.0,40800.0,1441.0,1440.0,-3204300.0,-5553400.0,20200514 08:41:46
