銘柄コード,現在値,始値,前日終値,高値,出来高,安値,売買代金,over,under,sellside_price,buyside_price,板上売気配,板上買気配,現在時刻
1400,204.0,205.0,201.0,205.0,8100.0,197.0,1640.0,86100.0,25500.0,204.0,201.0,-46500.0,41400.0,20200615 09:25:17
1739,691.0,691.0,691.0,691.0,100.0,691.0,69.0,1000.0,3200.0,720.0,699.0,-256400.0,14600.0,20200615 09:25:20
2164,682.0,682.0,673.0,682.0,200.0,682.0,136.0,5400.0,1300.0,681.0,672.0,-25600.0,33800.0,20200615 09:25:24
2173,475.0,497.0,492.0,497.0,21200.0,471.0,10373.0,32200.0,23100.0,478.0,476.0,-47500.0,27700.0,20200615 09:25:27
2195,0.0,0.0,2950.0,0.0,0.0,0.0,0.0,0.0,0.0,3050.0,2451.0,-4034000.0,-980000.0,20200615 09:25:30
2321,131.0,130.0,130.0,131.0,37800.0,129.0,4921.0,820200.0,94900.0,131.0,130.0,-562600.0,854400.0,20200615 09:25:33
2388,129.0,124.0,126.0,129.0,66200.0,124.0,8323.0,205400.0,148000.0,129.0,128.0,-151600.0,570600.0,20200615 09:25:36
2425,531.0,531.0,529.0,531.0,2000.0,531.0,1062.0,15200.0,1000.0,528.0,520.0,-23000.0,94600.0,20200615 09:25:39
2479,176.0,176.0,179.0,178.0,17000.0,175.0,2995.0,99500.0,33800.0,177.0,175.0,-87700.0,70900.0,20200615 09:25:43
3042,828.0,850.0,825.0,850.0,9700.0,828.0,8129.0,22000.0,28000.0,833.0,829.0,-59100.0,18400.0,20200615 09:25:46
3070,307.0,308.0,300.0,308.0,300.0,307.0,92.0,8300.0,15100.0,310.0,306.0,-103800.0,30200.0,20200615 09:25:49
3140,990.0,988.0,982.0,994.0,12800.0,988.0,12665.0,67800.0,36400.0,990.0,989.0,-64600.0,50900.0,20200615 09:25:52
3625,866.0,876.0,882.0,880.0,7800.0,858.0,6770.0,24000.0,18100.0,871.0,864.0,-54400.0,69000.0,20200615 09:25:55
3777,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:25:58
3803,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:01
3807,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:04
3814,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:08
3842,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:11
4240,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:14
4316,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:17
4570,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:20
4572,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:23
4576,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:26
4579,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:30
4582,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:33
4764,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:36
4772,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:39
4833,26.0,25.0,25.0,26.0,221600.0,25.0,5553.0,1239800.0,3316500.0,26.0,25.0,-16127100.0,10381500.0,20200615 09:26:42
4840,324.0,326.0,332.0,329.0,8600.0,323.0,2802.0,27000.0,12000.0,328.0,325.0,-29700.0,37700.0,20200615 09:26:45
4978,491.0,497.0,481.0,499.0,962200.0,485.0,475074.0,1275900.0,487300.0,491.0,490.0,-1771400.0,1356200.0,20200615 09:26:48
7070,367.0,368.0,366.0,368.0,600.0,367.0,221.0,15200.0,2600.0,374.0,368.0,-97800.0,26800.0,20200615 09:26:52
7774,717.0,705.0,712.0,719.0,14900.0,703.0,10579.0,55300.0,59200.0,719.0,717.0,-56800.0,66600.0,20200615 09:26:55
7776,459.0,460.0,439.0,460.0,45700.0,449.0,20884.0,114300.0,122500.0,458.0,456.0,-18400.0,210800.0,20200615 09:26:58
7777,452.0,470.0,454.0,473.0,564400.0,447.0,260546.0,395900.0,194400.0,452.0,451.0,-20100.0,263900.0,20200615 09:27:01
7855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200615 09:27:05
8885,798.0,814.0,784.0,816.0,9600.0,787.0,7733.0,16500.0,23500.0,799.0,794.0,-46100.0,182300.0,20200615 09:27:08
8938,1041.0,1024.0,1025.0,1041.0,10100.0,1014.0,10367.0,35900.0,31300.0,1042.0,1036.0,-79000.0,93500.0,20200615 09:27:11
